,分ち書き
811,そしてメインは青森県産大間の鮪が１３５キロって書いてある札にドーンと乗せられた大間鮪と写真撮影タイム
812,確かテレビで1本3億とかそんなレベルだった気が
813,
814,
815,
816,赤身、中トロ、大トロ、炙りトロ、今までで食べた鮪ではダントツで1位認定
817,最後はこのマグロの部位を全て合わせた鉄火巻き豪華バージョンでフィニッシュ
818,お値段は最低5
819,6万とかなりお高めですが一生に一度は行く価値ある素晴らしいお寿司屋さんです
820,
821,2016年7月訪問
822,いま東京の鮨店で勢いのある店の一つは間違いなくここだろう
823,カウンター8席、店には大将とおかみの2人だけ
824,1日2回転営業
825,この時点で次回予約は7ヶ月後
826,電話での予約は今の所ストップしているほどの人気店
827,大将はネタについての説明を冗談交じりに軽快に話してくれます
828,これが劇場と言われるゆえん
829,マシンガントークは漫才見ながら鮨食べてる感じです
830,つまみは無く、すべて握り
831,皿などには載せず、手渡しで
832,これは食べるのに適した温度で食べて欲しいから
833,おかげで写真撮る時うまく撮れません笑昔ながらの江戸前鮨だけではなく、いろいろなチャレンジをしていて、熟成させて生ハムのようにした鯛だとか楽しめます
834,でもそのチャレンジは奇をてらったものではなく、しっかりとした技術に裏打ちされたものでした
835,伝統的な美味しい鮨を食べるならここは適した店ではなく、いつもと違った、でも面白いけど美味しい鮨を探しているのなら是非ここはオススメです
836,すこし鮨になれた女子とかのウケもいいはずです笑
837,(写真31枚アップさせていただきます
838,)地元名古屋のグル友さん達からの『どうしても行きたい
839,』とリクエストで名古屋勢を中心に貸切り再訪です
840,先ずは、シャリを1口いただいてからスタート
841,ここから時間の経過と共にシャリの変化までもネタに合わせて味わるという流れ
842,☆淡路沼島産マナカツオ☆京丹波産トリ貝☆九十久里浜産手掘り蛤☆三重県産アジ☆高知県産アオリイカと長崎のカラスミ☆天然鰻の白焼き☆鮪赤身と赤身漬け☆軽く焼いた紫雲丹☆中トロと中トロ漬け☆車海老の頭と尾☆勝浦産鰹☆鯛の子☆鯛の子のお出汁☆大トロと大トロ漬け☆赤身、中トロ、大トロ全て入った鉄火巻き☆干ぴょう巻き☆玉全20貫
843,初夏の主役の鮪は那智勝浦産でした
844,赤身、中トロ、大トロと生→漬けと続けて供されラストはその6種をごっちゃにして豪快に太巻きで締めくくられる
845,笑いの渦に包まれながら旨しマグロshow☆彡が楽しめます
846,***************************************話題にのって蒲田にある初音鮨さんへお昼に伺いました
847,流れは夜と同じです
848,蒲田駅西口から徒歩数分
849,東京工科大学の斜め西にあり自宅兼お店の壁には「hatune」の文字
850,喫茶店とばかり思って通り過ぎてしまいました
851,緑の多いエントランスを抜けて店内へ
852,以前は個室だったと思われる待合いで待機しているとご主人がピシリと挨拶にいらっしゃいます
853,深々と頭を下げられ謙虚
854,時間になりカウンターに案内をされました
855,女将さんに、一番辛口のお酒を
856,と伝えて宮城県辛口純米酒の日高見が供されました
857,この日は3名が来られなくなったようで5名揃ったところでスタートです
858,先ずは、塩と赤酢だけで作られたばかりのシャリを1口味わいます
859,これが時間が経つとお味が変化されてネタとユニークなマッチングに
860,♪☆千葉勝山産1w熟成コハダ☆陸前高田産牡蠣☆塩で熟成した熊本県産しらかわ☆サイコロカットのガリ☆和歌山県那智勝浦産鮪☆気仙沼産赤貝、ひも☆薄塩で水分を抜いた真魚鰹☆湯通しした鮪☆1w熟成鮪☆北海道根室産白子☆中トロ☆中トロ漬け☆千葉勝山産アオリイカを長崎産　自家製カラスミと合わせて☆三重県尾鷲産鰆☆毛蟹と赤シャリのおにぎり☆甲羅酒☆大トロ炙り☆全ては巻かれた鉄火巻き☆干瓢巻き☆玉全て手で受け取る方式
861,逆さにして5秒ほど待つ口内調理
862,味しくなるのは確信できます
863,フレンチでもブラッスリー、ビストロ、グランメゾン、モダンなどの業態がありクラシカルなフレンチを求めてモダンに伺えば（華奢で物足りない
864,)と外れたような気分になることでしょう
865,お寿司も同じ
866,漁港にあるような獲り立てネタで美味しいもあれば正統派高級寿司店で美味しいあれクルクル寿司でウマウマあれば斬新創作寿司で旨し
867,もある
868,
869,伺う側も何をいただきに
870,と頭を切り替えないと残念(ノд`)・゜・
871,に
872,
873,中治さんのオリジナルなお鮨
874,美味しかったですしめっちゃ楽しかったです
875,今まででカメラを向けるとポーズをとられる大将はお2人目（笑）
876,西にはこちら
877,東に中治さん♪サービス精神旺盛なエンターティナー
878,
879,【2016年2月】
880,あれよあれよという間に人気店になった同店
881,例によって出遅れている私に、優しい食べ友さんが救いの手を差し伸べてくれました
882,今や、週末は半年先まで埋まっているらしいです
883,伺ったのは、土曜の昼
884,12：00からの一斉スタート
885,お値段は時価となっており、飲み物はお茶のみだった私の支払額は27000円でした
886,当日頂いたものは以下になり、おつまみは無く全て握りでの提供
887,＊炊き立てのシャリ＊佐島の蛸＊千葉の鯛＊丹後の鳥貝＊千葉大原の黒鮑＊三重の鯵＊佐渡の鮪　赤身　塩＊佐渡の鮪　赤身づけ＊琵琶湖の天然鰻　＊中トロ　塩＊中トロ　ヅケ＊三浦半島のアオリイカ　カラスミ＊雲丹＊根室の毛蟹　２貫＊甲羅酒＊大トロ　塩＊大トロ　炙り＊鉄火巻き＊かんぴょう巻＊玉子最初に炊き立ての熱いシャリを出してくれるのが面白いですね
888,炊き立ては酢が立っていて、逆に米の粒は立っていない感じ
889,で、その後は握りが始まります
890,親方から食べ方の指導があり、顔を上に向けてタネを下にして直接舌にのせ、5秒待ってから食べるようにと指示が
891,こうすると、魚の脂や旨みが唾液により滲み出て、より美味しくなるらしい
892,料理の全体的な感想ですが、タネは噂どおり最上級で質が良い
893,よくこれだけ集められるものです
894,そしてこちらの特徴は、それに加え旨みの引き出し方が非常に上手
895,熟成も上手いし、茹でたり焼いたりすることによる温度のコントロールによっての引き出し方も上手い
896,また肝なども上手く使うし、烏賊には唐墨をかまし、鯵も〆るなど、とにかく徹底的に旨みに依る濃厚さを出す
897,塩も強めで、それも旨みを引き出すのに役立ってる
898,また、タネを舌に直接乗せて少し置くやり方も、種の旨みを味わうという点では優れている
899,魚介の濃厚な旨みがストレートに来ます
900,繰り返しになりますが、とにかく旨みが非常に濃いというのが、こちらの鮨の大きな特徴
901,インパクトがあり非常に分かりやすい味ともいえ、人気なのも頷けます
902,一方でその分、私には少し旨みが強すぎる感も
903,濃厚さの分、魚介の身が持つ瑞々しい香りが若干薄れている
904,個人的に、料理で香りって重要視する方なので
905,舌の上にタネを直接乗せるやり方も、少し好みではなかったかも
906,通常のシャリを舌に乗せる食べ方は、まずシャリの味が来て、そのシャリの塩気や酸味が次に来るタネの旨みを引き出す
907,その分、全体の一体感とタネの柔らかく長い余韻がある
908,こちらの食べ方は、まず旨み濃厚なタネの味がくるので、鮨より魚介そのものを食べてる感が強い
909,この辺りは本当に好み
910,ただ、そういったこと含め、すごく満足
911,次の予約も取らせて貰いました
912,噂に聞くご夫婦の接客は本当に見事
913,ご主人の落語を思わせる話術と言い、気の遣い方といい、素晴らしいです
914,人気の所以はとても納得
915,お誘い頂いた方に感謝
916,ご馳走さまでしたー
917,以下、握りの感想詳細です
918,最初の蛸は、熱い皿に乗せ温度を上げることで、旨みを引き出す
919,まだ熱いシャリと温度を合わせる形
920,面白いですが、シャリがまだ粘っていて、身に弾力がある蛸との一体感は希薄
921,難しいものだな
922,次の鯛
923,5日寝かせているとかで、旨みは相当ありますが、同時に少し魚くささ
924,これまた難しさを感じる
925,トリ貝のあたりまでは、シャリが落ち着いて無い感じで、高い温度でタネの香りや旨みを引き出したいのは分かるのですが、その分シャリのほどけ具合がイマイチでタネとの一体感がどうにも・・
926,黒鮑からは大分シャリが落ち着いてきました
927,その黒鮑は、滅茶苦茶大きい
928,しかも、鮑では国内最高クラスの産地とも言われる千葉の大原
929,肝を間に挟み込むことで、すごく濃厚
930,肝の濃厚さが身の旨みを上回る感はあるもののの、全体としてこの濃厚さには素直に悶絶
931,そして、三重の鯵
932,これも寝かせていて、少し〆方がきつい
933,もう少し〆方が浅くても良いかな
934,またその分水分が抜けていて旨みは凝縮してますが、鯵特有の瑞々しさには欠けることになり、どちらを取るか難しいところです
935,そして、初音さんといえば、まぐろっ
936,この日は佐渡の定置網で獲れた100kg弱の物
937,まずは赤身、塩とヅケ
938,塩は、此方の食べ方に従い種を下にして舌と直接接する形だと、まず塩の味が来る
939,その後に、夏の鮪っぽい酸味
940,すっきりとして旨みと酸味のバランスが良い美味しい鮪ですが、塩の味が先に来てそれが濃いのがやや気になる
941,とはいえ、さすがの美味しさ
942,ヅケも味が少し濃いですが、鮪の酸味や香りはきちんと残っており、秀逸な漬け方
943,美味しいです
944,次に天然の鰻
945,これが素晴らしかった
946,脂が乗っているものの、それが過多では無くて、品が良く香りもある
947,焼き方も見事
948,少し置いて、水分を抜いてるとかで、その分旨みが凝縮
949,かなりの大鰻で、厚みもありその旨みが存分に味わえる
950,鮨としてより、鰻そのものとしてとてつもなく美味しい
951,鰻屋さん全国1位のかぶとの天然鰻より調理は上手いと思う
952,その後は、中トロ
953,これも塩はややその強さが気になりましたが、タネ自体は素晴らしい
954,シャリはこの辺りでベストの状態になってきて、ほどけ具合が良い
955,そして、アオリイカに唐墨を噛ませたもの
956,唐墨はもう仕込んだ分がなくなる直前とか
957,唐墨の濃厚さをアオリイカの淡白さが和らげ、鮨として考えるならかなりの出来
958,唐墨だけでは鮨としてそのまま食べるには濃厚過ぎますからね
959,お酒が進む味（下戸なので飲みませんが）
960,雲丹がこの日の白眉
961,三陸のものだったかな（曖昧）
962,粒が立っていて、でもクリーミーで甘みが素晴らしい
963,手毬型にこんもり仕上げた形も旨みを後押し
964,当然でしょうが、形も重要ですな
965,これには感動
966,次に毛蟹
967,生きている状態の物を見せてくれましたが、無茶苦茶大きい
968,それを20分程蒸して、蟹みそとシャリを和えて、ほぐした身をその上に
969,毛蟹特有の、少し栗を思わせるほっくりした身の甘みがタマラナイ
970,その後は、焼いた甲羅を使った甲羅酒
971,こういうところがニクイ
972,大トロは鉄板の美味しさですが、脂感が鮪の香りを上回るので、この辺りは好みだし季節というのもありますかね
973,鉄火巻きは鮪が贅沢に入っていて、その太巻きっぷりといい、これまた美味しい
974,美味しい鮪は赤身が美味しいですな
975,かんぴょう巻は普通な感じで
976,そして玉子も素晴らしい
977,しゅわっとした口どけと品の良い甘さ
978,酢飯を少し噛ませている分、その酸味が種の甘さを品よく浮かび上がらせる
979,まさにデザート
980,以上です
981,
982,2度目の訪問貸切で知り合いに囲まれてのゴハンは、気兼ねなく楽しい
983,大将の話は、まるで噺家さんのようで楽しい
984,大きいマダコからのスタート
985,写真はとりませんので、覚えているネタだけ
986,マダコ　　　　　　　　　　　　　　　　　マナガツオイカとバチコ　　　　　・・・このコンビ、最高
987,アジ　　　　　　　　　・・・皮が美味しい
988,ウニ　　　　　　　　　天然ウナギ　　　　　　・・・養殖とまるで違う
989,なにこの食感
990,　　　焼いた鮎　　　　　　　・・・おいしー
991,ｹﾄﾞ、お鮨じゃないほうがｽｷ
992,車えび　　　　　　　　・・・もっと味わえばよかった
993,アワビとアワビの肝　　・・・肝にも手を加えているようです
994,マグロ赤身　　　　　　赤味漬け中トロ中トロ漬けかんぴょうまきマグロ全部巻き卵焼き特に美味しかったのだけ感想を
995,意外と覚えてる
996,順番はてけとう
997,最初と最後はあってる　ﾊｽﾞ
998,お食事は「楽しい」が加わると、美味しいがさらに倍増します
999,モチロン、純粋にお鮨も美味しいけれど
1000,それ以上に、美味しいものを食べるってとっても楽しくて幸せ～と、再認識させてくれる数少ないお店
1001,値段は上がったようですが、それでもここにこないと味わえない味と楽しさがある
1002,また行きたいなと思えるのです
1003,
1004,美味しいという話を聞いてから、あっという間に超人気店となった初音鮨さん
1005,去年、一度行こうとして予約したのですが、都合が悪くなってしまい、もう一度予約すると、年明けになってしまいました(^_^;)改めていう事でもありませんが、こちらは一斉スタート
1006,握りのみの、お任せ１本です
1007,以前は、個室なども使ってらっしゃったそうですが、今は、ご夫婦で切り盛りされていて、カウンター８席です
1008,４代目となるご主人は、とってもお話上手（＾-＾）まずは出来立てのシャリを
1009,まだ温度の高いシャリは、ご飯と、酢の酸味や、塩味を感じる事が出来ます
1010,これが落ち着いて、馴染んでいって、ネタとの一体感を楽しんでください、と☆●千葉県勝山の小肌一週間熟成させています
1011,●陸前高田の牡蠣　　　　　　　　牡蠣が大きすぎて見えませんが、ちゃんとシャリが隠れています（＾＾）
1012,と言っても、私は牡蠣が食べれないのでいただいていませんが(^_^;)●熊本県のしらかわ　　　　　　　幻の魚とも言われる白甘鯛（＾-＾）昆布〆などはせず、塩で熟成して、しらかわそのものをいただきます
1013,●気仙沼の赤貝　　　　ひもと、小柱も合わせて
1014,●真魚鰹　　　　　　ん、美味しい～♪薄塩して水気を抜いた真魚鰹は、プロシュートみたいな味わい
1015,●和歌山県那智勝浦の鮪　　　　一週間熟成したものを、そのままと、湯通しした漬けでいただきます
1016,まずは赤身
1017,どちらも美味しいですが、漬けの方が好みかも
1018,●北海道根室、寒鱈の白子　　　とろん
1019,、ととろけちゃいます（＾-＾）●中トロこちらも２種類
1020,中とろを漬けにしてしまうという(○￣ｍ￣）●千葉県勝山のアオリイカ　　　　長崎県の自家製カラスミを厚くスライスして
1021,程良い塩味
1022,●三重県のカンパチ今年は不漁だったそうですが、立派なカンパチ☆●北海道根室の毛蟹　　　　シャリにたっぷりの蟹味噌を混ぜて
1023,蟹の握り
1024,じゃなくて、蟹のお握りです(^_^;)大きすぎるので、半分にカットして、２回に分けていただきます
1025,個人的には、美味しい毛蟹なので、握りではなくつまみとしていただきたかったですが、こちらではそれは野暮というもの（＾＾）後は蟹の甲羅酒も
1026,
1027,
1028,●大トロ　　　　　　　　漬けの方は炙りで
1029,これが、美味しい～～(⌒∇⌒)旨味に、香ばしさも加わって、幸せ♪●鉄火巻き　　　これまでいただいた鮪が、すべて入った鉄火巻き
1030,渾然一体となって、とびきり美味しい☆●干瓢巻き●玉芝海老の玉は、ふわ、ほわで、甘過ぎないけど、スイーツみたい
1031,ネタやシャリの温度管理を徹底されていて、切りつけたネタを、温めた大皿で、少し寝かせます
1032,大将は常に楽しく、丁寧に、お話しして下さるので、握りのひとつひとつが、小噺を聞いているかのようです（＾-＾）次回は貸し切りで伺います☆
1033,●訪問回数３回蒲田の初音鮨　前日に電話したら、たまたまキャンセルが出て６年ぶりに行ってきました
1034,いやー凄かった
1035,全国に何人かいる「変態鮨職人」の一人です
1036,特に面白かったのが、シャリの変化に対する考察と、ネタの提供温度に徹底的にこだわります
1037,食べ方も、ネタから舌の上に載せて５秒まって、魚本来の味わいを確かめて噛んでくださいと言われます
1038,確かにこの食べ方だと、魚の味、香りが直接分かって目からうろこでした
1039,煮切りもネタの半分くらいしかつけないので、意図してやっていると思います
1040,まず炊き立ての合せたばかりのシャリだけでてきます
1041,水気を含んで、シャリと塩や酢もまだなじんでない
1042,これが徐々に水分が取れてきて、なじんでいく過程でベストな相性のネタを合せていくのだとか
1043,まずコハダ　少しフレッシュな感じ
1044,ネタを先に味わうことで、コハダ本来の味がわかります
1045,酢はそれほどきつくなく、むしろコハダの野趣を感じます
1046,コハダは年明け４日から揚がっていて、今日のは〆て３日目のものなのだとか
1047,４日目５日目がベストと言っていました
1048,中骨が酢で溶けて、身の方に旨味として残るのだとか
1049,赤貝は宮城県の物
1050,貝柱とヒモと握ることによって、香りを際立たせたいとのこと
1051,クエ（４キロ）　はきれいな熟成をしてます
1052,大皿の上にネタを並べてしばらく置いていて、３０度くらいで脂を活性化させて握ります
1053,脂も程よく臭みの無いきれいな熟成です
1054,焼き牡蠣の握り　カキバカ三代という会社の牡蠣で、取った牡蠣を一旦５０度くらいの水で洗って海に戻しているのだとか
1055,そうすると、表面に着いたものが取れて、牡蠣が餌を取り込みやすくなる
1056,これを低温で焼いて、握る
1057,臭みが一切ない、牡蠣の鮨で一番感動した
1058,カワハギの鮨は、肝の合せて握る
1059,肝はクリアーで濁りひとつない
1060,カワハギも天然もの（５％しかないらしい）で食感と旨味がよかった
1061,鮪は塊で仕入れて、それだけで１００万弱とのこと
1062,赤身とヅケ、中トロとヅケ、大トロとヅケの炙り　と他の鮨の合間に出てくる
1063,漬けは古法で湯霜にして漬けにする
1064,もともと天平年間でマグロが取れすぎて、保存処理するために生まれた技法とのこと
1065,　切り出した赤身や中トロ　漬けにすることで旨味が高まったものも素晴らしかった
1066,そしてマグロを舌の上に乗せることによって、直に鮪の味が感じられたのも良かった
1067,鱈の白子と白トリュフ　白トリュフを使うのはこれが最後とのこと
1068,これはもう凄いとしか言いようがない
1069,香りも素晴らしく極上の白子の純度の高い味と溶け合い声も出ない
1070,１．５キロくらいの毛ガニを丸のまま蒸して、味噌はシャリと合わせて、身はその上にほぐして載せた握り　これも毛ガニの魅力を余すところなく伝えた逸品だった
1071,ブリヅケは１５キロ超の寒ブリを漬けにしたもの
1072,これも味わいが素晴らしかった
1073,鮪の木端のすべての部位を入れた巻物も凄かったし、干瓢巻も甘口できちんとしていた
1074,最後に芝エビのたっぷり入った香りのよい玉子で終了
1075,鮨代２１０００円　原価率は実に８割だそうだ
1076,再訪必至の店だ
1077,＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ちょっと間隔が空いているので、近日中に再訪しなくチャと思っているのですが、なにせ予約が取れないことが多くて困っています若い主人の進取の気質あふれる江戸前寿司です
1078,剣先イカ
1079,イカの甘味を感じる
1080,塩だれで食べさせるマコガレイ
1081,真子を加えて旨みを増していますマグロのヅケ
1082,大間の良質なもの
1083,ヅケは湯霜にして漬け込む本ミル貝
1084,香りよく美味シマアジ
1085,脂がのっているコハダ
1086,〆方が浅めカツオ
1087,香りが素晴らしい
1088,３bh甘海老の昆布締めと内子の握り
1089,旨みが増幅され美味
1090,金目鯛
1091,皮をつけたもの小柱
1092,大粒の小柱鱧と真子
1093,旨み増幅煮蛤
1094,蛤の出汁をしっかり感じるあっさりとした味付けアジ
1095,普通にうまい〆サバ
1096,全体的にしめものは好みより少し浅めだったかも二種類の北海道のウニ
1097,軽く蒸して握ったもの
1098,とろける食感蒸しアワビと肝のソース
1099,肝の旨みが昆布の旨みを凝縮した味マグロの各種漬けの巻物
1100,海苔の旨みが素晴らしい
1101,青海苔が少し入ったための旨みだそうです干瓢巻き
1102,普通にうまい玉子
1103,芝エビの甘味が素晴らしいシャリは赤酢を少しつめて、濃くしたもの
1104,米は旨い
1105,握り方も上手だ
1106,新たな息吹を感じさせる味
1107,私の好みよりシャリの酸味がやや少な目かな
1108,あー早く再訪しないと
1109,
1110,
1111,蒲田駅西口より徒歩約5分
1112,一見普通の民家のような玄関に、モダンな「hatune」の文字を発見
1113,暖簾をくぐると風情のある待合で、しばし心とお腹の準備を整える
1114,店主は歴代鮨職人の家系で、ご主人で４代目に当たるそう
1115,一子相伝の技は先代から引き継がれ、現在のご主人へ
1116,秘伝の技で放たれた鮨たちは、正確に味覚の秘孔を突いてくる
1117,１組ずつ待合からカウンターに案内され、女将さんのお酌を受ける
1118,ご主人のご挨拶と共に、本日の特別講座が開始
1119,まずは「シャリ講座」炊き上がったばかりのシャリを一同口に運び、炊き上がりのチェック
1120,シャリ単体では炊き上がりが最も旨いが、まだ酢が馴染まずネタに合わない
1121,時間と共に酢が馴染み、シャリの熟成と共に最も相性の合うネタを握るとのこと
1122,続いて「食べ方講座」鮨は「人差し指」「中指」「親指」の３指で受け、鮨を縦に回転させてネタを舌の上に置く
1123,舌に乗せたら、そのまま噛まずに５秒待つ
1124,舌上でネタを味わい、酢に刺激され十分唾液が出たところで始めて噛み始める
1125,鮨のみならず、唾液中のアミラーゼ・味蕾・体温これら全てが調和して、客の口腔内で始めて「鮨」が完成する
1126,「温度」ご主人曰く、人が口に入れて最も快適に感じる温度は、乳児が口にする母乳と等しい30℃
1127,この温度を目指して、50℃程度（筆者の主観）に加熱された大皿の上でネタの温度調整
1128,指先で温度を感じ取り、適温になったネタを素早くシャリの上へ
1129,しかし鮪の体温は28℃が平熱のため、28℃で握るとのこと
1130,「熟成」すべてネタは熟成させる
1131,atpが分解されイノシン酸に変わり、旨味が最大限に発揮された瞬間のネタを使う
1132,本日の大間の鮪は１週間寝かせたもの
1133,此処は中治教授の実験室
1134,極上のネタとシャリと食べ手を、如何様に融合させるか実験は続く
1135,小肌・真蛸・牡蠣・鮪（赤身・中トロ・大トロ）・鱈の白子と白トリュフ・いくら・鰤・松葉ガニ・鉄火巻・干瓢巻・鱧の卵焼き
1136,etc
1137,時にマッドサイエンティストに変貌する中治教授
1138,白子と白トリュフの一貫は、鮨のフランケンシュタイン
1139,異次元の融合はあまりに力強く、あまりに個性的
1140,伝統的江戸前鮨を愛する客には、おそらく理解されぬ一貫であろう
1141,ご自身を「（鮨の）変態」と称される中治教授
1142,鮨の天才なのか狂人か、ご自身の目と舌で確かめられるのが宜しかろう
1143,
1144,＜2015年10月　初訪＞札幌の『鮨菜
1145,和喜智』の大将のおススメ、またマイレビ様達の評価も高い東京の蒲田にある『初音鮨』に初めての訪問
1146,ｊｒ蒲田駅西口から徒歩6～7分程度
1147,17時30分～と20時～の2部制で約1ヵ月前に20時～で予約
1148,"完全予約制で20,000円（税別）のお任せのみ"
1149,小上がりの畳の待合室は和の趣があります
1150,また早めに着いても先客のカウンターのお客様とは接さずにゆっくりと待てる点も素敵です
1151,当日の到着順で、カウンターに案内され靴を脱ぎ掘りごたつ式の席に奥から座ります
1152,シャリの説明の後に少量を手渡しされ味見します
1153,もうじき馴染むのでしょうか
1154,　しっかりとお米の食感を楽しめるキレ（心地よい硬さ）もあり、ふんわりと上品な赤酢の香りに馴染みます
1155,わさびは、キロ3万円のもので本鮪の値段と大体同じで、根元が紫色のものが最上級だそうです
1156,この後、全ての素材をまず目の前で見せ、丁寧な説明の後に包丁が入り、同席カウンター人数分のネタが一皿に並べられカウンター奥から順番に握られ味付けの施された鮨が「手渡し」されていきます
1157,いよいよ中治　勝（なかじ　かつ）劇場の開幕です
1158,＊三浦半島　佐島の地蛸（雄）　※雌は産卵期シャコや、鯵、ワタリ蟹をエサにしているそうです
1159,ネタを下にシャリを上に舌の上乗せ口を閉じ、そのまま噛まずに3秒ステイ（これが初音のスタンダード）香りを楽しむとともに、唾液が溢れ出る感覚を実感でききます
1160,唾液と香りと握りが一体になり鮨の旨みを堪能できるのだそうです
1161,以下全ての素材に対して丁寧な説明がありますが、特に印象に残ったものを抜粋
1162,＊明石の真鯛紅葉ダイ（雄）２切れ6日熟成した一切れと、今朝採れの一切れの融合で、塩味で食感をも楽しみます
1163,＊真牡蠣初物の宮城大船渡産
1164,先月まで岩牡蠣だそうです
1165,とても可愛いいシャリがさりげなく忍んでいます
1166,＊小肌4日熟成させたもので、酢で骨が旨みと化して溶けているそうです
1167,小肌というと普通は皮が上という印象ですが、こちらの小肌は小骨が溶け旨みの染み込んだ身を楽しむために皮面が下
1168,＊本鮪赤身＊赤身漬けマグロの体温は28度
1169,もっとも美味しい温度だそうです
1170,冷蔵の鮪は暫く常温になじませ28度近くにて届けられます
1171,＊ハタ（クエ）
1172,2キロの千葉産　一週間寝かしたもの＊中トロ＊中トロ
1173,漬け＊鱧と松茸鱧（ハモ）というと夏の印象がありますが、11月が旨いそうです
1174,今朝どれの焼き
1175,鱧にないのは香り、松茸にないのは脂
1176,松茸は岩手産
1177,＊気仙沼
1178,戻り鰹タレが抜群で、香りも濃厚
1179,これは抜群に旨い
1180,～来年でご夫婦25年になるそうです～＊淡路産天然鰻の白焼きわさびと醤油でいただきます
1181,＊剣先イカとバチコ～日本酒　日高見～＊新イクラ＊鮑特大の千葉産＊本鮪カマ下のトロみずみずしさがあります
1182,＊熟成トロ甘みも旨みも濃厚
1183,＊伊勢海老＊本日のすべての鮪の手巻き圧巻です
1184,＊かんぴょう巻きこちらも熟成濃厚な旨みを堪能
1185,＊玉子ふんわり上品に芝海老が香ります
1186,鮪が思う存分堪能出来た半面、鮮度が自慢の旬のネタやお椀やデザート
1187,「種類」がほんの少し少な目かもと感じたあたりが、極少しだけもやっともしましたが（お腹いっぱいでしたが追加すれば良かった＾＾）
1188,
1189,丁寧で真面目な素材の説明と、軽妙で腰が低くも絶妙なトークの合間に素材を最上の状況に育み握られた渾身の鮨がさりげなく手から手へと届けられます
1190,また熟成した芳醇な旨みの素晴らしいネタの如く
1191,　ご夫婦の奏でる静かで優しい音色もいとおかし・・・同業にもとてもファンの多いお店の理由（訳）が少し分かったような気もします
1192,そして何より関心したのは、美味しさだけではありません
1193,「上からではなく庶民の語り口」で偶然居合わせた初見・常連のお客同士の心さえも繋いで行き和やかな笑いの絶えない空間を創り上げてしまいます
1194,まさにこれぞ仙人のなせる奥義
1195,
1196,　神の方程式を体感出来るこちらのカウンターは・・・実に、奥深く・・　面白い♪　（敬意を込めて＾＾）
1197,【2014-12-12追記】：櫃臺前（かうんたまへ）に坐（すは）ると同時（ひとし）く、カタコトと小氣味（こきみ）よき音
1198,
1199,主人（あるじ）、飯切（はんぎり）に炊上（たきあ）がりたる飯（いひ）を空（あ）け、
1200,醋（す）を合（あ）はす作業（しごと）に大童（おほわらは）
1201,
1202,鮓店（すしや）として異質（いしつ）、あまりに異様（いやう）なる行爲（ふるまひ）
1203,
1204,およそ舎利（しやり）と云ふもの、
1205,始（はじ）めは醋（す）親和（なじ）むことなく、
1206,やがて落着（おちつ）き、馴染（なじ）み、
1207,終（つひ）には冷（さ）めてボソボソとなるが通常（つね）
1208,
1209,故（ゆゑ）に、巷（ちまた）の鮓舖（すしや）は樣々（さまざま）なる手段（てだて）を凝らし、
1210,親和（なじ）ませた上（うへ）で保温（あたゝかさたも）たんと四苦八苦（しくはッく）
1211,
1212,"ある舖（みせ）は藁（わら）の""畚（ふご）""、またある廛（みせ）は""電子ジャー""、"
1213,"また別（べつ）の鋪（みせ）は櫃（ひつ）ごと""湯煎（ゆせん）""と云ふ工合（ぐあひ）"
1214,
1215,倩(つらつら)東都（えど）で高名（なだか）き鮓店（すしや）を覽（み）るに、
1216,開店（みせびらき）より遡（さかのぼ）ること、
1217,西洋時辰儀（せいやうどけい）一時間（いちじかん）乃至（ないし）三時間（さんじかん）、
1218,豫（あらかじ）め醋（す）を親和（なじ）ませ、保温（あたゝかさをたもつ）が習慣（ならひ）
1219,
1220,亭主（あるじ）、かくのごとき因習（ならはし）を侮（あなど）り譏（そし）る
1221,
1222,曰（いへらく）、「保温（ほおん）とは低温火傷（ていおんやけど）に異ならず」、と、、
1223,
1224,當家（こちら）の流儀（やりかた）に遵（したが）ふなら、
1225,最初（いやさき）は熱（あつ）く、最後（いやはて）は冷（つめ）たきに過ぐるが理（ことわり）
1226,
1227,然（しか）るに、最初（いやさき）より最後（いやはて）に至（いた）る二時間（にじかん）
1228,
1229,一（ひと）つとして首傾（くびかし）ぐる品（しな）なかりき
1230,
1231,東道（あるじ）、温度（あたゝかさ）に應（おう）じ、親和工合（なじみぐあひ）に從ひ、
1232,鮓種（すしだね）を擇（えら）み、烹調法（やりかた）を組合（くみあ）はす
1233,
1234,鮓種（すしだね）は傳統（いにしへからのやりかた）を踏（ふ）まへつ、
1235,時（とき）にそれに囚（とら）はるゝことなく、
1236,時季（じき）に適（かな）ふ上質（よ）きものばかりを嚴選（えらびぬく）
1237,
1238,夏（なつ）の車蝦（くるまえび）を冬（ふゆ）には楚蟹（すはへがに）、と云ふ工合
1239,
1240,鮪（しび）、鰆（さはら）、鰤（ぶり）、雲子（くもこ）、鮭腹子（いくら）、牡蠣（かき）、
1241,何（いづ）れもこの時季（じき）ならでは
1242,
1243,鮪（しび）は手を變（か）へ品を變（か）へ吾儕（わなみ）が舌（した）に迫（せま）る
1244,
1245,小鰭（こはだ）は〆淺（あさ）きものと、熟（う）れたるものゝ二種（ふたくさ）
1246,
